小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
达州碧桂园凤凰台,(通川区北客站)花草湾路达州碧桂园凤凰台,7065,塔楼,1.6至2.2元/平米/月,暂无信息,达州碧桂园天易房地产开发有限公司,3栋,594户
牌楼路80号,(通川区)牌楼路80号,6155,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
碧桂园梦里巴国天樾,(达川区三里坪)巴国大道碧桂园梦里巴国天樾,7656,未知类型,暂无信息,暂无信息,暂无信息,8栋,784户
中国铁建广场,(通川区西客站)西河路中国铁建广场,5937,未知类型,暂无信息,暂无信息,暂无信息,4栋,1116户
牌楼路80号,(通川区)牌楼路80号,6155,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
梦里巴国茂园,(达川区)巴国大道梦里巴国茂园,6897,未知类型,暂无信息,暂无信息,暂无信息,6栋,1098户
来凤路811号,(通川区中心广场)来凤路811号（来凤路37号）,6015,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
东城综治中心楼,(通川区老车坝)二马路东城综治中心楼,6099,塔楼,0.2元/平米/月,暂无信息,暂无信息,1栋,28户
通川北路627号,(通川区北客站)通川北路627号,5906,未知类型,暂无信息,暂无信息,暂无信息,1栋,48户
碧桂园梦里巴国·书香里,(达川区)巴国大道碧桂园梦里巴国·书香里,8099,未知类型,暂无信息,暂无信息,暂无信息,12栋,1078户
阳光·峰渡,(通川区复兴镇)鱼泉街阳光·峰渡,7128,未知类型,暂无信息,暂无信息,暂无信息,11栋,1604户
城市坐标酒店,(达川区万达路)华蜀南路443号,6959,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
达州碧桂园凤凰台,(通川区北客站)花草湾路达州碧桂园凤凰台,7065,塔楼,1.6至2.2元/平米/月,暂无信息,达州碧桂园天易房地产开发有限公司,3栋,594户
莲湖佳园,(通川区莲花湖)石桥路331号,6052,塔楼,0.8元/平米/月,暂无信息,暂无信息,6栋,556户
天灯巷104号,(通川区中心广场)天灯巷104号,5972,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
保险街253号,(达川区三岔路口)保险街253号,5947,未知类型,暂无信息,暂无信息,暂无信息,1栋,60户
明珠巷21号,(达川区三岔路口)明珠巷21号,6131,未知类型,暂无信息,暂无信息,暂无信息,1栋,66户
阳光·书香澜台,(通川区莲花湖)塔石路阳光·书香澜台,6908,未知类型,暂无信息,暂无信息,暂无信息,17栋,1088户
御兰龙庭,(达川区南客站)绥定大道二段御兰龙庭,6177,未知类型,暂无信息,暂无信息,暂无信息,2栋,139户
西圣寺西顺巷56号,(通川区)西圣寺西顺巷56号,6259,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
金地花园一区,(通川区金龙大道)金牌路73号,7163,塔楼,1至1.4元/平米/月,暂无信息,四川省三木置业有限公司,3栋,72户
景西华庭,(通川区西客站)朝阳西路景西华庭,6620,塔楼,0.6元/平米/月,暂无信息,涛景集团,1栋,368户
双狮建材农行大厦,(通川区老车坝)通川北路双狮建材农行大厦,7239,未知类型,暂无信息,暂无信息,暂无信息,1栋,112户
罗浮·山水美地,(通川区西客站)金龙大道罗浮·山水美地,7510,塔楼,1.8元/平米/月,暂无信息,暂无信息,9栋,1014户
馨园,(通川区罗浮广场)金兰路468号,6325,板楼,0.8元/平米/月,达州市清新物业管理有限责任公司,达州中桂鑫园房地产开发有限公司,5栋,112户
鹭岛广场,(达川区三里坪)汉兴北街800号,6647,板楼,2元/平米/月,无物业管理服务,达州市泰达房地产开发有限公司,6栋,1111户
龙泉社区安置小区,(通川区金龙大道)龙井路龙泉社区安置小区,5419,板楼,0.5至1.2元/平米/月,暂无信息,物业和度娘都不知道开发商名称,4栋,156户
鑫源阁,(达川区南客站)文兴街255号,6873,板楼,1.2元/平米/月,暂无信息,重庆鑫源置业集团,1栋,176户
万锦城,(通川区罗浮广场)凤凰大道73号,7747,塔楼,1.2元/平米/月,暂无信息,物业和度娘都不知道开发商名称,7栋,754户
侨兴·中华花园东区,(达川区南客站)袁家巷65号,5923,塔楼/塔板结合,0.8至1.2元/平米/月,暂无信息,达州福森置业有限公司,7栋,706户
文丰小区,(达川区三里坪)华蜀北路433号,5989,板楼,1.2元/平米/月,四川省国灿博室物业有限公司,四川高达房产,3栋,250户
凤翎锦绣,(通川区北客站)胡家坝东巷凤翎锦绣,7551,板楼/塔板结合/平房,0.5元/平米/月,自持物业,临沂天泰置业有限公司,20栋,3607户
鑫源阁,(达川区南客站)文兴街255号,6873,板楼,1.2元/平米/月,暂无信息,重庆鑫源置业集团,1栋,176户
万锦城,(通川区罗浮广场)凤凰大道73号,7747,塔楼,1.2元/平米/月,暂无信息,物业和度娘都不知道开发商名称,7栋,754户
恒源科技大厦,(通川区罗浮广场)朝阳西路422号,6210,塔楼,0.9元/平米/月,暂无信息,恒资投资建设,1栋,304户
万豪莲湖1美地,(通川区莲花湖)金龙大道万豪莲湖美地,7644,塔板结合,1.3元/平米/月,四川心连心物业服务有限公司,四川万豪房地产有限公司,2栋,336户
蓝润·置地广场A地块,(通川区罗浮广场)朝阳中路蓝润·置地广场A地块,7293,未知类型,1.8元/平米/月,暂无信息,达州市弘润置业有限公司,15栋,2562户
恒阳骊都二期,(通川区罗浮广场)朝阳西路恒阳骊都二期,8239,塔楼,1.2至1.5元/平米/月,达州市清新物业管理有限责任公司,达州市恒阳实业有限公司,5栋,1371户
棕榈岛,(通川区罗浮广场)金龙大道203号,7984,塔楼,1至1.2元/平米/月,达州市清新物业管理有限责任公司,达州市侨兴房产开发有限公司,10栋,2167户
滨江山語城,(通川区罗浮广场)白塔路滨江山語城,8190,塔楼,1.2元/平米/月,暂无信息,四川滨江地产发展有限公司,4栋,1021户
恒大·雍河湾,(通川区塔坨)朝阳中路505号,7856,塔楼/板楼/塔板结合,1.2至1.5元/平米/月,成都金房物业集团有限责任公司宜宾分公司,广州恒大,18栋,3684户
江湾城一期,(通川区江湾城)肖公庙路江湾城一期,8664,塔楼,1.6至1.8元/平米/月,暂无信息,达州宏义房地产开发有限公司,33栋,2010户
金利多青华园,(通川区金龙大道)金龙大道金利多青华园,8320,塔楼,1.2元/平米/月,四川金久物业管理有限公司,四川金利多房地产集团有限公司,11栋,2611户
万豪一品,(通川区罗浮广场)永兴路万豪一品,7879,塔楼,1.2元/平米/月,四川达州市鼎豪物业公司,物业和度娘都不知道开发商名称,6栋,1108户
西城名苑,(通川区金龙大道)龙泉路156号,8054,塔楼,1.2元/平米/月,四川达州市鼎豪物业公司,物业和度娘都不知道开发商名称,7栋,1709户
上观南城,(达川区南客站)骑龙大道181号,7941,塔楼/塔板结合,1.2元/平米/月,达州市永亦物业服务有限公司,广州侨兴房产开发有限公司,17栋,3312户
州一豪庭,(通川区金龙大道)金龙大道州一豪庭,8188,塔楼,1.2元/平米/月,暂无信息,暂无信息,4栋,731户
仁和春天国际花园,(通川区金龙大道)府城大道西段505号,7957,塔板结合,1.5元/平米/月,四川远鸿物业管理有限公司,达州市仁和春天投资有限公司,10栋,2428户
罗浮南山美庐,(达川区南客站)骑龙大道罗浮南山美庐,7906,塔楼/平房,1.2元/平米/月,成都罗浮物业服务有限公司,上海碧罗房地产开发有限公司,17栋,2371户
滨江四季花城二期A区,(通川区罗浮广场)巴渠西路滨江四季花城二期A区,8211,塔楼/板楼,1.2至2元/平米/月,开江三合物业管理有限公司,四川滨江地产发展有限公司,6栋,680户
江湾城三期,(通川区江湾城)肖公庙路江湾城三期,8206,塔楼,1至1.8元/平米/月,暂无信息,四川宏义地产控股集团有限公司,12栋,2757户
