小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
首开领翔国际,"(翔安新店)洪琳湖路首开领翔国际, 翔安区洪琳湖一里2-28号",24016,2007年建成 ,板楼/塔板结合,1.6至3.5元/平米/月,北京宝景物业管理有限公司厦门分公司,厦门首开翔泰置业有限公司,23栋,2240户
庄园新城,(集美灌口)集美区黄庄三里60-243号,21755,2009年建成 ,塔楼/板楼,0.9至1.2元/平米/月,厦门新景风华物业管理公司,无,16栋,2332户
美地雅登三里,(翔安新店)祥吴三里,26020,2007年建成 ,塔板结合,1.2至1.4元/平米/月,汇嘉（厦门）物业管理有限公司,无开发商,9栋,913户
禹洲中央海岸一期,"(集美杏林桥头)集美区杏林湾杏林大桥首站, 宁海二里12-15号, 宁海二里4号, 宁海二里3号, 宁海二里12-15号",29055,2001年建成 ,塔楼/板楼,2.68至3元/平米/月,厦门市万科物业服务有限公司,厦门贵丰房地产开发有限公司,8栋,1998户
宝嘉誉园,(翔安新店)祥吴二路宝嘉誉园,31178,2010年建成 ,板楼/塔板结合,1.98元/平米/月,宝嘉(厦门)物业服务有限公司,厦门宝旭房地产开发有限公司,8栋,620户
万科城二期,"(海沧马銮湾东)霞光东里21号, 海沧区霞光东里21号",29454,2011年建成 ,塔楼/板楼,2.68至3.38元/平米/月,厦门市万科物业服务有限公司,厦门万科房地产有限公司,7栋,957户
首开领翔花郡,"(翔安新店)翔安大道首开领翔花郡, 翔安区洪琳湖二里2-30号",26319,2014年建成 ,塔板结合,1.5至3.5元/平米/月,北京宝景物业管理有限公司厦门分公司,厦门首开翔泰置业有限公司,21栋,729户
夏商大学康城二期,"(集美锦园)康成二里3号, 集美区康成二里3-37号",22882,2005年建成 ,板楼,1.5元/平米/月,厦门商发物业管理有限公司,厦门夏商房地产有限公司,11栋,1679户
大唐五缘yoho,"(湖里五缘湾)穆厝路9号, 穆厝路1号",23414,2009年建成 ,塔楼,5.3元/平米/月,暂无信息,厦门大唐房地产有限公司,3栋,1804户
万科金色悦城,(翔安马巷)舫阳北路202号,23689,2009年建成 ,板楼,2元/平米/月,厦门市万科物业服务有限公司,厦门万科房地产有限公司,23栋,1067户
永建顶尚,"(湖里枋湖)枋湖南路185号, 枋湖南路169-109号, 枋湖南路169-111号, 枋湖南路169号",23370,2005年建成 ,塔楼/板楼/塔板结合,2.8至3.8元/平米/月,厦门裕景物业有限公司,厦门永建房地产开发有限公司,9栋,2824户
住宅·莲花国际,"(集美集美新城)集美区龙亭六里1号-8号, 集美区龙亭六里5-13号",24807,2014年建成 ,塔楼/板楼,1.9至3.5元/平米/月,白士德物业公司,厦门万嘉翔房地产开发有限公司,6栋,1228户
首开领翔上郡一期,(翔安新店)翔安大道首开领翔上郡一期,27672,2009年建成 ,塔楼/板楼,2.3至2.5元/平米/月,白仕德物业,厦门首开翔泰置业有限公司,68栋,2554户
夏商大学康城一期,"(集美锦园)康成一里1到13号, 集美区康成一里3-27号",22754,1980年建成 ,板楼,1.2至1.5元/平米/月,厦门商发物业管理有限公司,厦门夏商房地产有限公司,15栋,1599户
京口岩小区,"(海沧未来海岸北师大)京口里1到35号, 海沧区京口里7-229号",29001,2000年建成 ,塔楼/板楼/塔板结合,暂无信息,厦门海投物业有限公司,厦门海投房地产有限公司 ,37栋,2311户
富祥苑,(海沧海沧生活区)沧林路121到169号,28776,1995年建成 ,板楼,1元/平米/月,无物业管理服务,厦门海沧房地产开发有限公司,11栋,330户
东方新城三区,(翔安新店)祥福二里16号,24144,2006年建成 ,板楼/塔板结合,0.7至2.2元/平米/月,厦门百城置业有限公司,厦门翔安建设发展房地产有限公司,15栋,332户
美地雅登二里,(翔安新店)祥吴二里,25482,2006年建成 ,板楼/塔板结合,1.2至1.4元/平米/月,汇嘉（厦门）物业管理有限公司,厦门经济特区工程建设公司,7栋,868户
集美平阳里小区,"(集美集美新城)孙坂南路, 集美区平阳里1-61号",19477,2000年建成 ,板楼,0.1至1.98元/平米/月,无,无,18栋,1275户
汇景新城中心,"(翔安新店)祥福五里, 翔安区祥福五里2-3号",29713,2007年建成 ,塔楼/板楼/塔板结合,1.5至1.8元/平米/月,厦门汇景物业服务有限公司,厦门汇景房地产开发有限公司,13栋,1595户
汇景新城中心三期,"(翔安新店)祥福四里1～6, 翔安区祥福四里1-6号",27621,2007年建成 ,塔板结合,1.8元/平米/月,厦门汇景物业服务有限公司,厦门汇景房地产开发有限公司,3栋,331户
禹洲卢卡小镇,(翔安新店)洪钟大道禹洲缇香浅山,28457,2007年建成 ,板楼/塔板结合,2.6至3.83元/平米/月,暂无信息,"厦门禹洲集团股份有限公司,",66栋,1261户
黎安小镇B区,(翔安马巷)民安路黎安小镇B区,26633,2012年建成 ,板楼/塔板结合/平房,1.8至2元/平米/月,厦门特祥房地产开发有限公司,厦门特房建设工程集团有限公司,10栋,782户
聚镇,"(集美锦园)锦园东里1到17号, 锦园东里18号, 集美区锦园东里1-16号",22898,2009年建成 ,塔楼/板楼/塔板结合,1.6至1.9元/平米/月,厦门杏林兴发物业有限公司,厦门市杏林建设开发公司,11栋,2200户
万科广场幸福里,(集美厦门北站商业区)圣果路万科广场,24040,2004年建成 ,塔楼/板楼/塔板结合,3.18至4.98元/平米/月,厦门市万科物业服务有限公司,厦门万科房地产有限公司,9栋,2159户
SEC泰地海西中心,"(海沧海沧区政府)海沧大道891号, 海沧大道839-843号",20993,2010年建成 ,塔板结合,2.88至5.9元/平米/月,北京戴德梁行物业管理有限公司厦门物业管理分公司,厦门泰地置业有限公司,7栋,1923户
沧翔路花园,(海沧海沧生活区)沧翔路192-234号、海旺路77-79号 ,30998,2000年建成 ,板楼,1元/平米/月,牧领物业,厦门海投房地产有限公司 ,4栋,336户
沧一小区,(海沧海沧生活区)沧虹路117到197号,28543,1995年建成 ,板楼,1元/平米/月,厦门海投物业有限公司,厦门海沧房地产开发有限公司,18栋,660户
瑞景双座思明,(思明瑞景)洪莲中路292到298号,23643,2007年建成 ,塔楼/板楼,1至2.7元/平米/月,厦门新家酒店管理有限公司,厦门新家酒店管理有限公司,2栋,264户
沧二小区,"(海沧海沧生活区)沧虹路160到172号, 海沧区海发路102-146号",29606,1993年建成 ,板楼,0.5至1.2元/平米/月,暂无信息,厦门海投房地产有限公司 ,21栋,683户
联发欣悦湾,"(集美灌口)安东路联发欣悦湾, 集美区鱼福三里182-361号",29273,1988年建成 ,塔楼/板楼,2.88至5.88元/平米/月,厦门联发集团物业管理有限公司,厦门联发（集团）房地产公司,145栋,1802户
兴港花园三期,"(海沧海沧外国语片区)兴港一里, 兴港路2477号, 兴港路2475号",30902,1999年建成 ,塔楼/板楼,0.8至1.8元/平米/月,厦门海沧新区物业管理有限公司,厦门海沧房地产开发有限公司,10栋,932户
国贸商城同悦,(集美集美其它)集美天安路以里126-127号,30346,2010年建成 ,板楼/塔板结合,2.8至3.2元/平米/月,厦门国贸物业管理有限公司,厦门国贸海湾投资发展有限公司,12栋,1242户
文圃花园,(海沧海沧生活区)海富路107到181号,30473,2000年建成 ,塔楼/板楼,0.7至1元/平米/月,厦门海投物业有限公司,厦门海沧房地产开发有限公司,19栋,594户
中骏四季阳光,"(集美厦门北站商业区)岩平路中骏四季阳光, 岩平一里30号",26421,2011年建成 ,塔板结合,2.2元/平米/月,厦门世邦泰和物业管理有限公司,厦门市中骏置业有限公司,15栋,1122户
大金门花园,"(海沧海沧生活区)沧翔路107到125号, 沧翔路61号, 沧翔路51号, 沧翔路167号",29855,1995年建成 ,塔楼/板楼,0.7至0.8元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,12栋,831户
夏商大学康城三期,(集美锦园)康成二里,24209,1999年建成 ,塔楼,1.5元/平米/月,厦门商发物业管理有限公司,厦门夏商房地产有限公司,10栋,1520户
华澳花园,"(海沧海沧外国语片区)兴港路2380到2408号, 钟林里184-1, 钟林里176-184号",29273,2005年建成 ,板楼,0.5至1元/平米/月,鸥鹭物业管理有限公司,厦门海沧房地产开发有限公司,3栋,314户
天安路,"(集美集美其它)天安路167-183号, 集美区天安路181-183号",22329,1999年建成 ,塔板结合,暂无信息,无物业管理服务,天安集团有限公司,3栋,153户
集美学府soho,(集美集美文教区)集源路48号,16176,2006年建成 ,板楼,1.8元/平米/月,厦门都市景象物业管理有限公司,厦门市集美建设发展有限公司,1栋,187户
招商雍华府,(翔安新店)新兴路招商雍华府,29580,2012年建成 ,塔楼/板楼/塔板结合,2至2.7元/平米/月,招商局物业管理有限公司厦门分公司,厦门招商雍华府房地产有限公司,14栋,1281户
龙湖嘉屿城,(集美灌口)集美区324国道与规划三南路交叉口南侧,26163,2014年建成 ,塔板结合,3.5至5.98元/平米/月,龙湖物业服务集团有限公司厦门分公司,龙湖地产集团（厦门）有限公司,27栋,1325户
中骏蓝湾尚都,(翔安马巷)舫山北路1号,25102,2008年建成 ,塔楼/塔板结合/平房,2至3.8元/平米/月,厦门世邦泰和物业管理有限公司,厦门市中骏置业有限公司,16栋,997户
明发半岛祥湾B区,"(翔安翔安新城)翔安大道东南面, 翔安区浦园一里33-35号",27184,2012年建成 ,板楼,1.3至1.6元/平米/月,厦门白士德楼宇管理有限公司,厦门明发集团有限公司,12栋,1078户
巷西一里,"(翔安马巷)巷西路巷西一里, 翔安区巷西一里6-15号",18211,1993年建成 ,板楼,2至2.33元/平米/月,厦门物业管理,融创嘉业,13栋,346户
翔安北路,(翔安马巷)翔安北路,13624,1995年建成 ,板楼,暂无信息,无物业管理服务,厦门金都特房置业有限公司,2栋,36户
丰融尚城,"(集美集美其它)乐海路25号, 集美区乐海路25号-29号",31039,2006年建成 ,塔楼,1.9元/平米/月,厦门鑫安广场物业管理有限公司,丰融投资控股集团（厦门）有限公司,3栋,246户
未来海岸水云湾,(海沧未来海岸北师大)兴港路,30441,2014年建成 ,塔楼/板楼/塔板结合,暂无信息,厦门海投物业有限公司,厦门海投房地产有限公司 ,13栋,2442户
兴港花园二期,"(海沧海沧外国语片区)兴港二里85-300号, 兴港二里147号, 兴港二里148号, 海沧区兴港二里85-295号",28258,2000年建成 ,板楼,0.8元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,27栋,1182户
建昌商业广场,"(集美杏北)杏北二里16号-335号, 集美区杏北二里17-334号",23690,2000年建成 ,板楼,1.2至1.25元/平米/月,业主自筹物业,厦门建昌房地产开发公司,13栋,797户
泉舜信海花园,"(海沧海沧生活区)沧林二路424到465号, 沧林二路387-495号",27434,2001年建成 ,塔板结合,0.6至4元/平米/月,厦门骏远物业管理有限公司,厦信发房地产开发有限公司,7栋,331户
西雅图,"(海沧海沧外国语片区)海沧马青路与钟林路交汇处、海沧房产站旁, 钟林里444号, 钟林里388号, 钟林里389号",31060,2013年建成 ,板楼/塔板结合,2.7元/平米/月,厦门金昇阳物业服务有限公司,厦门金昇阳置业有限公司,11栋,1587户
阳光美郡,(同安同安区)同集中路1307号,18043,1999年建成 ,板楼,1.8元/平米/月,业主自筹物业, 重庆汇东房地产开发有限公司,4栋,600户
正元新都汇,"(海沧海沧体育中心)滨湖一里201号, 滨湖一里208-103号, 滨湖一里201-115号, 滨湖一里208-121-101号, 滨湖一里201-111号",28824,2012年建成 ,塔板结合,4.8元/平米/月,福建正元物业服务有限公司厦门分公司,厦门正元置业有限公司,1栋,558户
长荣花园,"(同安集美其它)同集中路,同集中路910-912号",29217,1994年建成 ,板楼,1.7至2.5元/平米/月,暂无信息,无开发商,27栋,485户
黎安D小区,(翔安马巷)民安路黎安D小区,26731,2008年建成 ,塔板结合/平房,1.8至2元/平米/月,厦门市特房物业服务有限公司,厦门经济特区房地产开发集团有限公司,11栋,790户
园博湾上,(集美集美新城)杏林湾路,22758,2000年建成 ,板楼/塔板结合,4.3元/平米/月,厦门百利达物业管理有限公司,无开发商,3栋,518户
联合博学园,(翔安新店)翔安大道联合博学园,28124,2007年建成 ,塔楼/塔板结合,1.7至1.75元/平米/月,厦门国贸物业管理有限公司,厦门联合房地产开发有限公司,18栋,1553户
东方新城二区,(翔安新店)祥吴五路,24545,2006年建成 ,板楼/塔板结合,0.7至2.2元/平米/月,厦门百城置业有限公司,厦门翔安建设发展房地产有限公司,23栋,454户
亚桥花园,"(海沧海沧生活区)沧翔鹭486到516号, 沧翔路442-2号, 海沧区沧虹路217-265号, 海沧区沧翔路508-538号",27484,2000年建成 ,板楼,0.5至1元/平米/月,暂无信息,亚桥（厦门）房地产开发有限公司,7栋,427户
万科城四期,"(海沧马銮湾东)霞光东里109号, 霞光东里108号, 海沧区霞光东里105-109号",31181,2016年建成 ,板楼/塔板结合,1.9至3.38元/平米/月,厦门市万科物业服务有限公司,厦门市万科广场置业有限公司,10栋,1494户
彩虹湾,(同安集美其它)厦门同集路蔡店,26123,2000年建成 ,板楼,1.2至1.5元/平米/月,厦门市禾源物业管理有限公司,厦门市集美建设发展有限公司,4栋,387户
华永天地,(湖里江头)台湾街288到292号,30285,1998年建成 ,塔楼/板楼/塔板结合,3.8至3.9元/平米/月,深圳花样年物业管理公司,厦门华永至合房地产有限公司,5栋,1367户
集源路,"(集美集美文教区)集美区集源路11号, 集源路90号~96-1号, 集美区集源路67-83号",29940,1982年建成 ,板楼/塔板结合/平房,暂无信息,暂无信息,无开发商,24栋,405户
祥和雅筑二期,(集美集美其它)天安路与井泉路交口,24736,1996年建成 ,板楼,1.5至1.52元/平米/月,厦门景山都市物业服务有限公司,厦门市集美建设发展有限公司,8栋,387户
长欣花园,"(海沧海沧生活区)海富路235到257号, 海富路277, 海沧区海富路241-287号",29936,2000年建成 ,塔楼,0.6元/平米/月,无,厦门特工房产有限公司,9栋,271户
禹洲香溪里7#地块,(同安同安其它)香溪南路禹洲香溪里,17526,2016年建成 ,塔楼/板楼,2.5至2.7元/平米/月,暂无信息,禹洲集团,25栋,1585户
宁宝花园,"(集美杏东)文达路23号, 文达路21号, 集美区文达路17-23号, 文达路15号",26612,2000年建成 ,板楼,0.8至1.1元/平米/月,厦门杏林兴发物业有限公司,厦门市杏林建设开发公司,36栋,1376户
新华玻璃厂综合楼,(集美杏南)集美区杏西路15号,25190,1990年建成 ,板楼,暂无信息,厦门华夏物业管理公司,禹州万丰置业有限公司,1栋,48户
禹洲高尔夫,(海沧马銮湾东)马青路5992到6000号,26116,2008年建成 ,塔板结合,2.5元/平米/月,厦门市华侨城物业管理有限公司,厦门禹洲集团股份有限公司,4栋,528户
信洲大厦,(翔安翔安新城)厦门市翔安区后仓路与434县道交叉口西150米,13240,2016年建成 ,板楼,4.6元/平米/月,厦门揽翔物业服务有限公司,厦门信洲房地产开发有限公司,1栋,757户
金龙商城二期,"(海沧海沧生活区)沧虹路551到711号, 海沧区沧虹路717-769号, 沧虹路715-717号",28224,2004年建成 ,板楼,0.8至1.2元/平米/月,无物业管理服务,厦门启龙房地产开发有限公司,10栋,333户
四季芳园,"(集美集美文教区)塘埔路29-57号, 塘埔路51号, 塘埔路57号, 塘埔路53号, 集美区塘埔路31-55号",29983,1993年建成 ,板楼,暂无信息,无物业管理服务,无开发商,10栋,360户
五华偶寓,(翔安新店)祥福路五华偶寓,16518,2009年建成 ,塔楼/板楼,3.5至3.98元/平米/月,厦门安之信物业管理有限公司,五华房地产开发有限公司,2栋,596户
巷西二里,"(翔安马巷)巷西路巷西二里, 翔安区巷西二里6-10号",13414,1992年建成 ,板楼/塔板结合/平房,1.2至1.6元/平米/月,瑞兴居委会,海峡置业发展有限公司,12栋,380户
特房黎安小镇A区,(翔安马巷)印斗山东路23-49号,29056,2010年建成 ,塔板结合/平房,1.8至2元/平米/月,厦门特祥房地产开发有限公司,厦门特房建设工程集团有限公司,5栋,379户
金博水岸,"(集美杏南)金博水岸, 集美区高浦路301-323号",29191,2009年建成 ,塔楼/板楼,2至2.2元/平米/月,厦门杏林兴发物业有限公司,厦门市杏林建设开发公司,7栋,1064户
永信花园,"(海沧海沧生活区)沧翔路477号, 沧翔路415-463号, 海沧区沧翔路469-477号",26973,2002年建成 ,塔楼/板楼,1.2元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,7栋,382户
马銮公寓,"(集美杏南)马銮路25号, 集美区马銮路25号",21448,1984年建成 ,板楼,1元/平米/月,厦门杏林兴发物业有限公司,厦门市杏林建设开发公司,12栋,699户
富佳苑,"(海沧海沧生活区)海达路142号, 海达路118号, 沧裕路118号, 海沧区海达路84-138号",26889,1999年建成 ,板楼,0.7至1元/平米/月,厦门市住总物业管理有限公司,厦门华星开发商,8栋,279户
宁宝社区,(集美杏东)东华路，杏林路,24117,1986年建成 ,板楼,暂无信息,无物业管理服务, 大理耀鹏房地产开发有限责任公司,14栋,440户
东方牡丹园,(集美杏东)东方牡丹园,25475,1987年建成 ,板楼,0.1至1元/平米/月,暂无信息,无开发商,14栋,266户
冠华楼,"(集美灌口)集美区灌口镇大路墘街477号701室, 集美区灌口镇大路墘街477号",15807,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1栋,2户
兴阁里小区,"(集美杏东)兴阁里小区, 集美区杏东路9号",24654,1992年建成 ,塔楼/板楼,0.5至2.1元/平米/月,厦门市安吉利家物业有限公司,厦门市杏林建设开发公司,17栋,745户
和谐天下,(集美集美其它)杏林湾路与集美大道交汇处北侧（华侨大学旁）,19048,2010年建成 ,塔楼/板楼/塔板结合/平房,3至80元/平米/月,厦门惠欣物业管理有限公司,惠元(厦门)房地产发展有限公司 ,14栋,1967户
悦美（月美嘉园）,"(集美杏南)悦美（月美嘉园）, 集美区月美嘉园6-58号",30505,2005年建成 ,塔楼/板楼/塔板结合,0.1至2元/平米/月,厦门市厦禾旧城改造物业管理公司,厦门市特房筼筜开发有限公司,5栋,929户
广场湖畔花园,(海沧海沧外国语片区)兴港路2300到2332号,30753,2004年建成 ,板楼,0.8至1.7元/平米/月, 厦门百江投资有限公司,厦门百江投资有限公司,4栋,432户
王子广场,"(海沧海沧生活区)刘山里65-68号, 海沧区刘山里65-67号",30537,2004年建成 ,塔楼/板楼,1.8元/平米/月,德新房产物业,厦门德新房地产开发有限公司,2栋,1653户
中澳城,(翔安翔安其他)翔安区新圩文化艺术中心西侧（新政府大楼对面）,17509,2015年建成 ,塔板结合,1.98元/平米/月,厦门恒地物业服务有限公司,厦门中澳城房地产开发有限公司,32栋,1050户
海青花园,"(海沧海沧生活区)沧翔路169到368号, 海沧区沧虹路115号",26290,1990年建成 ,板楼,0.8至0.9元/平米/月,厦门市好管家物业管理有限公司,厦门海投房地产有限公司 ,13栋,380户
大永固花园,(海沧海沧生活区)沧翔路322号-328号,22320,1994年建成 ,板楼,0.7元/平米/月,无物业管理服务,厦门海投房地产有限公司 ,1栋,64户
永祥新城,"(集美灌口)仁德里59号附近, 集美区仁德里30-38号",18701,2003年建成 ,板楼,1.5元/平米/月,居委会自管物业,无开发商,15栋,2151户
中铁海湾豪园,"(集美杏南)中铁-海湾豪园, 集美区光华里25-140号",24248,2003年建成 ,板楼,0.1元/平米/月,无物业管理服务,无,11栋,305户
新华园,"(海沧海沧生活区)沧林二路557号, 海沧区沧林二路561-589号",29740,1999年建成 ,板楼,0.6元/平米/月,厦门海投物业有限公司,厦门海沧房地产开发有限公司,5栋,348户
星海湾,(集美集美其它)同集南路星海湾,24348,1988年建成 ,塔楼/板楼/塔板结合/平房,0.9至3.5元/平米/月,暂无信息,惠元(厦门)房地产发展有限公司 ,236栋,667户
集美花园东区,(集美集美文教区)集美花园东区,30086,1997年建成 ,板楼,1元/平米/月,无物业管理服务,无开发商,7栋,219户
巴厘香泉,(同安同安其它)汀溪街巴厘香泉,13544,2015年建成 ,板楼/塔板结合,2.2元/平米/月,厦门繁荣物业管理有限公司,厦门骏豪投资有限公司,5栋,967户
龙湖嘉誉一期,(集美灌口)龙湖嘉屿鱼福三里121-136号,29730,2009年建成 ,塔楼/板楼,3元/平米/月,重庆新龙湖物业服务有限公司厦门分公司,龙湖地产集团（厦门）有限公司,50栋,1121户
鑫茂花园,"(海沧海沧生活区)沧翔路82到150号, 海沧区沧翔路86-150号",27309,2000年建成 ,板楼,0.6至1.2元/平米/月,无物业管理服务,厦门市鑫星河房地产开发有限公司,6栋,291户
东方新城A1组团,(翔安新店)详福路东方新城A1组团,22361,2009年建成 ,塔板结合,1至2.5元/平米/月,厦门百城置业有限公司,建发房产,19栋,157户
海福广场小区,"(海沧海沧生活区)海兴路1到35号, 沧虹路54号, 海兴路81-99号",29017,2000年建成 ,板楼/塔板结合,0.8至1.2元/平米/月,厦门都市房仆物业管理有限公司,厦门海投房地产有限公司 ,10栋,756户
三源弘,"(海沧未来海岸北师大)嵩屿南路三源弘, 海沧区嵩屿南路14-36号",30878,2000年建成 ,板楼,0.7至1.5元/平米/月,厦门市住总物业管理公司,三远地产集团有限公司,5栋,287户
大唐世家,"(集美杏南)杏南路43号, 集美区杏南路45号",26504,2000年建成 ,板楼,0.2至0.8元/平米/月,厦门市今日大唐物业有限公司,厦门大唐房地产有限公司,5栋,158户
纺织路,(集美杏东)纺织路,24001,1978年建成 ,板楼/平房,暂无信息,无物业管理服务,无开发商,40栋,706户
万科中心云玺,(湖里万达广场)高林中路535号,28425,2000年建成 ,板楼,5.5至10元/平米/月,厦门市万科物业服务有限公司,万科房产,3栋,1174户
福建岩土工程勘查研究院,"(集美杏南)杏林南路31号, 集美区杏林南路31号",18162,1996年建成 ,板楼,暂无信息,无物业管理服务, 陕西亿润经贸有限公司 ,1栋,24户
湖景华庭,"(海沧海沧生活区)沧林三路634号, 海沧区滨湖北路759号, 海沧区沧林三路684号, 海沧区海达南路180号",29581,2002年建成 ,塔楼/板楼,0.8元/平米/月,厦门市今日大唐物业有限公司,厦门三福裕房地产开发有限公司,7栋,321户
广兴新城,(集美杏西)新源路15-17号,24445,1992年建成 ,塔楼/板楼,0.7元/平米/月,无物业管理服务,"""苍南县中富房地产开发有限公司",2栋,337户
华创公寓,"(集美杏东)文滨路26号, 集美区文滨路26号",24639,2000年建成 ,板楼,暂无信息,无物业管理服务,广东华创集团,1栋,75户
海翼0592,"(翔安马巷)巷西路海翼0592, 翔安区巷西五里1-10号",20684,2011年建成 ,塔楼/板楼/塔板结合,2.2元/平米/月,厦门海联翔物业服务有限公司,厦门海翼地产有限公司,5栋,784户
东方新城一区,(翔安新店)祥福三里,24615,2007年建成 ,塔板结合,2.2元/平米/月,厦门百城置业有限公司,厦门翔安建设发展房地产有限公司,11栋,739户
碧桂园云空间,(翔安翔安新城)后仓路北200米隆盛大厦附近,14601,2018年建成 ,塔楼,4.2元/平米/月,广东碧桂园物业服务股份有限公司厦门分公司,厦门市龙翔九洲房地产开发有限公司,1栋,1259户
广宇公寓,(集美杏南)厦门市集美区杏林日新路11号,25611,2000年建成 ,板楼,0.7至1元/平米/月,厦门市中博物业有限公司,厦门市中博房地产有限公司,8栋,217户
都市恬园,(海沧海沧生活区)沧林路310到334号,29430,2002年建成 ,板楼,1至1.2元/平米/月,无物业管理服务,益马集团,9栋,405户
莲福广场,(同安同安其它)岳东里,18737,2002年建成 ,板楼/塔板结合,暂无信息,无物业管理服务,厦门莲富房地产开发有限公司,14栋,1170户
金利蓝湾新城,(同安同安区)瑶江里,21544,2006年建成 ,板楼,1.2元/平米/月,博士物业管理公司,厦门金利房地产发展有限公司,17栋,930户
岑西路,"(集美集美文教区)岑西路125号, 集美区岑西路8-79号",31051,1973年建成 ,塔楼/板楼,0.5至2元/平米/月,无物业管理服务,厦门华星开发商,25栋,670户
银都花园,"(海沧海沧生活区)沧林二路679到713号, 海沧区沧林二路679-711号",29558,2002年建成 ,板楼,0.6至0.8元/平米/月,无物业管理服务,银都国际,7栋,248户
佳隆花园,(海沧马銮湾中心片区)孚莲路佳隆花园,18855,2000年建成 ,板楼/塔板结合,0.8元/平米/月,暂无信息, 五指山水墨雨林置业有限公司,5栋,247户
